text,location,departure_time,return time,duration,cost,people_num,purpose
我們的預算是每人1500，我們計劃在明年的五月十日至五月十七日，一行四人前往巴黎，你有哪些推薦的旅遊活動和景點？,巴黎,2024/5/10,2024/5/17,8,1500,4,旅遊活動和景點
我們的預算是8000，我將和伴侶前往馬爾代夫度假，四月二十日出發，大概四月三十回來，你能分享一些浪漫的度假活動嗎？,馬爾代夫,2023/4/20,2023/4/30,11,8000,2,浪漫的度假活動
我們的預算約在4000至5000之間，今年的八月二十八日至九月二日期間，我們一家五口計劃到夏威夷度假，有哪些適合家庭的活動？,夏威夷,2023/8/28,2023/9/2,6,4000至5000,5,家庭的活動
我們希望體驗當地的美食和夜生活，在今年的十一月五日至十一月十三日期間，我們的預算約在3000，我將與三名朋友前往東京，你有什麼建議？,東京,2023/11/5,2023/11/13,9,3000,4,體驗當地的美食和夜生活
我們的預算是每人1000，我計劃和兩位夥伴一同前往紐約，七月二十日至七月二十五日期間，有哪些經濟實惠的活動可參加？,紐約,2023/7/20,2023/7/25,6,1000,3,經濟實惠的活動
明年的二月十日至二月十五日期間，我們的預算約在5000至7000之間，我們想要滑雪並參加冰雪節活動，我和四位家人將前往奧地利的因斯布魯克，你有什麼建議？,奧地利的因斯布魯克,2024/2/10,2024/2/17,8,5000至7000,5,滑雪並參加冰雪節活動
我們想要了解當地的文化景點和美食，九月十五日至九月二十一日期間，我們的預算約在2000左右，我和三位朋友計劃前往首爾，有什麼推薦？,首爾,2023/9/15,2023/9/21,7,2000,4,文化景點和美食
我計劃前往荷蘭的阿姆斯特丹，在明年的五月一日至五月七日期間，我對博物館和運河遊船很感興趣，預算約在2500至2800之間，有哪些建議？,荷蘭的阿姆斯特丹,2024/5/1,2024/5/7,7,2500至2800,1,博物館和運河遊船
預算約在2000至2200之間，我們希望能兼顧業務和文化體驗，我和三名同事將前往新加坡出差，今年的十月十日至十月十五日期間，你有什麼建議？,新加坡,2023/10/10,2023/10/15,6,2000至2200,4,業務和文化體驗
我們的預算約在4000到5000左右，我計劃帶著我三位家人去納帕谷度過聖誕節假期，十二月二十日至十二月二十七日期間，有哪些適合家庭的葡萄酒莊參觀活動？,納帕谷,2023/12/20,2023/12/27,8,4000到5000,4,家庭的葡萄酒莊參觀活動
預算是每人1200，在明年的三月十日至三月二十日期間，我們打算與2個朋友一同前往巴塞隆納，你有哪些當地的文化活動和美食推薦？,巴塞隆納,2024/3/10,2024/3/20,11,1200,3,文化活動和美食
我想要參加一個傳統茶道體驗，為期一週，十一月十八日出發，我將獨自前往京都，預算約為1000，你能幫我找找看嗎？,京都,2023/11/18,2023/11/24,7,1000,1,傳統茶道體驗
今年的八月二十五日至八月三十日期間，我們每人的預算約在800左右，我計劃和15個同學一起到泰國曼谷旅行，有什麼當地的特色市場和寺廟推薦嗎？,泰國曼谷,2023/8/25,2023/8/30,6,800,16,特色市場和寺廟
明年的七月五日至七月十二日期間，預算範圍在6000至7000之間，我們將一家四口前往夏威夷大島度假，有哪些適合家庭的海灘活動和自然景點？,夏威夷大島,2024/7/5,2024/7/12,8,6000至7000,4,家庭的海灘活動和自然景點
在今年的九月十日出發，我們的預算約為2000，為期10天，我將和一位夥伴一同前往巴厘島，你有什麼推薦的水上運動和浪漫晚餐地點嗎？,巴厘島,2023/9/10,2023/9/19,10,2000,2,水上運動和浪漫晚餐
我們每人的預算約在3000左右，我計劃和7位攝影愛好者朋友一起去冰島，六月十五日至六月二十日期間，有哪些拍攝北極光的最佳地點？,冰島,2023/6/15,2023/6/20,6,3000,8,拍攝北極光
在明年的四月一日至四月七日期間，預算為每人1400，我們打算前往巴塞羅那，一行五人，有什麼推薦的藝術館和海鮮餐廳？,巴塞羅那,2024/4/1,2024/4/7,7,1400,5,藝術館和海鮮餐廳
我將和五位朋友一同造訪首爾，我們的預算約為每人900，在十月二十日至十月二十六日期間，有哪些當地的夜市和流行購物區推薦嗎？,首爾,2023/10/20,2023/10/26,7,900,6,夜市和流行購物區
為期一週，今年的十二月五日至十二月十一日期間，我計劃前往耶路撒冷朝聖，我的預算約在2500左右，有哪些重要的宗教遺址和活動是我不容錯過的？,耶路撒冷,2023/12/5,2023/12/11,7,2500,1,宗教遺址和活動
我們一家6人將前往日本京都，預算範圍在4000至4500之間，在明年的一月十五日至一月二十日期間，你有哪些美麗的寺廟和和服租借推薦？,日本京都,2024/1/15,2024/1/20,6,4000至4500,6,美麗的寺廟和和服租借
大概是三月二十八日至四月三日，預算約為2000，我將和3位攝影師朋友前往摩洛哥的撒哈拉沙漠，有哪些捕捉美麗沙丘的攝影點？,摩洛哥的撒哈拉沙漠,2023/3/28,2023/4/3,7,2000,4,捕捉美麗沙丘的攝影點
我的預算約在1500左右，今年的九月二十八日至十月三日期間，我計劃獨自造訪倫敦，你有哪些必遊的博物館和古董市場推薦嗎？,倫敦,2023/9/28,2023/10/3,6,1500,1,必遊的博物館和古董市場
明年的六月八日至六月十五日期間，預算範圍在2500至2800之間，我和四個朋友將前往悉尼，有哪些海灘活動和城市觀光景點值得體驗？,悉尼,2024/6/8,2024/6/15,8,2500至2800,5,海灘活動和城市觀光景點
在二月二十五日出發，我將和兩位家人一同去紐約度過短暫9天假期，我們的預算是每人600，有什麼適合家庭的博物館和娛樂活動？,紐約,2023/2/25,2023/3/5,9,600,3,家庭的博物館和娛樂活動
今年的九月十日至九月十八日期間，預算範圍在3000至3500之間，我計劃前往希臘的聖托里尼島度假，你有哪些浪漫的日落景點和島上探險活動推薦嗎？,希臘的聖托里尼島,2023/9/10,2023/9/18,9,3000至3500,1,浪漫的日落景點和島上探險活動
在明年的8月1日至8月7日期間，我和1位夥伴將造訪柏林，我們的預算約在一千八百左右，有哪些歷史博物館和藝術畫廊值得參觀？,柏林,2024/8/1,2024/8/7,7,一千八百,2,歷史博物館和藝術畫廊
我和2位攝影愛好者朋友一同前往摩納哥參加賽車盛會，今年的5月18日至5月25日期間，預算範圍在三千五至四千之間，你有哪些觀賽最佳位置的建議？,摩納哥,2023/5/18,2023/5/25,8,三千五至四千,3,賽車盛會
我計劃和三名家人一同前往多倫多，預算是每人八百，在7月10日至7月15日期間，有哪些適合家庭的城市景點和娛樂活動？,多倫多,2023/7/10,2023/7/15,6,八百,4,家庭的城市景點和娛樂活動
我們的預算約在兩千八左右，我和我4個朋友將前往秘魯馬丘比丘，明年的9月5日至9月12日期間，有哪些當地的徒步步道和考古遺址值得探索？,秘魯馬丘比丘,2024/9/5,2024/9/12,8,兩千八,5,徒步步道和考古遺址
我將參加一個冬季漫遊團，前往芬蘭赫爾辛基，今年的1月20日至1月25日期間，預算範圍在兩千至兩千二之間，你有哪些建議的冰雪活動？,芬蘭赫爾辛基,2023/1/20,2023/1/25,6,兩千至兩千二,1,冰雪活動
我計劃和女朋友一同前往巴拿馬的博卡斯德爾托羅度假，今年的11月15日至11月20日期間，預算是每人一千五百，有哪些沙灘活動和水上運動推薦？,巴拿馬的博卡斯德爾托羅,2023/11/15,2023/11/20,6,一千五百,2,沙灘活動和水上運動
我將前往倫敦參加一個音樂節，在明年的4月10日至4月17日期間，預算約為一千二，你有哪些流行音樂場地和當地美食推薦嗎？,倫敦,2024/4/10,2024/4/17,8,一千二,1,流行音樂場地和當地美食
在今年的7月5日至7月12日期間，預算範圍在五千至五千五之間，我和三位家人將前往巴哈馬度假，有哪些適合家庭的海灘度假村和水上活動？,巴哈馬,2023/7/5,2023/7/12,8,五千至五千五,4,家庭的海灘度假村和水上活動
預算範圍在三千至三千五之間，我計劃前往南非開普敦，大約是10月28日至11月3日，你有哪些城市觀光景點和野生動物保護區推薦嗎？,南非開普敦,2023/10/28,2023/11/3,7,三千至三千五,1,城市觀光景點和野生動物保護區
明年的3月5日至3月12日期間，預算約在兩千左右，我將前往墨西哥坎昆度假，有哪些適合的沙灘活動和香格里拉式度假村值得考慮？,墨西哥坎昆,2024/3/5,2024/3/12,8,兩千,1,沙灘活動和香格里拉式度假村
我計劃和7個朋友一同前往澳大利亞雪梨，預算是每人一千三，在今年12月15日至12月22日期間，有哪些夏日海灘活動和節日活動推薦？,澳大利亞雪梨,2023/12/15,2023/12/22,8,一千三,8,夏日海灘活動和節日活動
預算範圍在兩千五至兩千八之間，今年的8月10日至8月18日期間，我和我攝影師朋友將造訪冰島的冰川洞穴，你有哪些建議的攝影景點和探險活動？,冰島的冰川洞穴,2023/8/10,2023/8/18,9,兩千五至兩千八,2,攝影景點和探險活動
在明年的2月5日至2月10日期間，我和另一半將前往義大利的威尼斯，我們的預算約在一千八左右，你有哪些浪漫的運河遊船和古城景點推薦？,義大利的威尼斯,2024/2/5,2024/2/10,6,一千八,2,浪漫的運河遊船和古城景點
預算範圍在三千至三千五之間，遊覽希臘和土耳其，今年的6月20日至6月27日期間，我計劃參加一個愛琴海郵輪，你有哪些郵輪上的活動和景點推薦？,希臘和土耳其,2023/6/20,2023/6/27,8,三千至三千五,1,郵輪上的活動和景點
我將和4位攝影愛好者朋友一同前往摩洛哥的撒哈拉沙漠，11月28日至12月5日期間，預算約在兩千三左右，你有哪些拍攝星空和沙漠風景的建議？,摩洛哥的撒哈拉沙漠,2023/11/28,2023/12/5,8,兩千三,5,拍攝星空和沙漠風景
預算是每人一千二，明年的3月15日至3月20日期間，我們兩人打算前往巴塞羅那，你有哪些當地的美食體驗和古老建築推薦？,巴塞羅那,2024/3/15,2024/3/20,6,一千二,2,美食體驗和古老建築
預算約為兩千，在6月10日出發，為期一週，我們想要參加當地的音樂節，我將和3個朋友一同前往澳洲雪梨，你有哪些建議？,澳洲雪梨,2023/6/10,2023/6/16,7,兩千,4,參加當地的音樂節
我們的預算範圍在三千五至四千之間，我計劃和我媽一同前往關島度假，今年9月28日至10月3日期間，有哪些水上活動和海灘休閒推薦？,關島,2023/9/28,2023/10/3,6,三千五至四千,2,水上活動和海灘休閒
在今年的8月15日至8月20日期間，我們的預算約在一千五左右，我和我哥將前往泰國清邁，你有哪些古城參觀和當地節慶的建議？,泰國清邁,2023/8/15,2023/8/20,6,一千五,2,古城參觀和當地節慶
明年的1月5日至1月12日，預算範圍在三千至三千五之間，我將前往智利的聖地亞哥，有哪些城市觀光和葡萄酒餐廳值得一試？,智利的聖地亞哥,2024/1/5,2024/1/12,8,三千至三千五,1,城市觀光和葡萄酒餐廳
我計劃和兩位夥伴一同前往夏威夷大島，在7月10日至7月15日期間，我們的預算約為四千，你有哪些適合的海灘活動和自然景點推薦？,夏威夷大島,2023/7/10,2023/7/15,6,四千,3,海灘活動和自然景點
今年的10月25日至10月31日期間，預算範圍在兩千五至兩千八之間，我將和女朋友一同前往摩洛哥馬拉喀什，你有哪些建議的攝影景點？,摩洛哥馬拉喀什,2023/10/25,2023/10/31,7,兩千五至兩千八,2,攝影景點
明年的6月5日至6月18日期間，我們的預算約在三千五左右，我和伴侶一同前往希臘的桑托里尼島，有哪些浪漫的日落觀景點和當地餐廳推薦？,希臘的桑托里尼島,2024/6/5,2024/6/18,14,三千五,2,浪漫的日落觀景點和當地餐廳
在4月10日至4月15日期間，預算範圍在兩千至兩千二之間，我計劃參加一個夏令營，前往加拿大溫哥華，你有哪些戶外活動和自然景點推薦？,加拿大溫哥華,2023/4/10,2023/4/15,6,兩千至兩千二,1,戶外活動和自然景點
我們的預算範圍在五千至五千五之間，我和三位家人將前往南非開普敦，今年的12月15日至12月24日期間，你有哪些適合家庭的野生動物觀賞活動？,南非開普敦,2023/12/15,2023/12/24,10,五千至五千五,4,家庭的野生動物觀賞活動
我計劃前往秘魯馬丘比丘，預算是2800，在明年的9月10日至9月18日期間，你有哪些當地的徒步步道和考古遺址值得探索？,秘魯馬丘比丘,2024/9/10,2024/9/18,9,2800,1,徒步步道和考古遺址
我將和3位朋友們一同前往日本大阪，預算範圍在2500至2800之間，5月20日至5月27日期間，你有哪些適合的購物區和夜生活場所推薦？,日本大阪,2023/5/20,2023/5/27,8,2500至2800,4,購物區和夜生活場所
我將前往挪威的奧斯陸，預算是1500，在11月28日至12月3日期間，你有哪些當地的博物館和文化活動推薦？,挪威的奧斯陸,2023/11/28,2023/12/3,6,1500,1,博物館和文化活動
在今年的8月10日至8月15日期間，預算範圍在1800至2000之間，我和五位夥伴將前往泰國曼谷，你有哪些當地的寺廟和夜市推薦？,泰國曼谷,2023/8/10,2023/8/15,6,1800至2000,6,寺廟和夜市
我計劃和3位朋友一同前往冰島，預算約在3000左右，明年的2月5日至2月13日期間，你有哪些建議的攝影景點？,冰島,2024/2/5,2024/2/13,9,3000,4,攝影景點
我們的預算是每人1000，為期一週，我將和兩位同事一同前往南韓首爾，6月15日出發，你有哪些適合的商業交流活動和觀光景點推薦？,南韓首爾,2023/6/15,2023/6/21,7,1000,3,商業交流活動和觀光景點
我計劃和4位家人一同前往加勒比海的巴巴多斯，這個月的10月20日至10月25日期間，預算是每人2000，你有哪些水上活動和海灘休閒推薦？,加勒比海的巴巴多斯,2023/10/20,2023/10/25,6,2000,5,水上活動和海灘休閒
明年的3月1日至3月7日期間，預算約在2500左右，我和7個朋友們將前往紐西蘭奧克蘭，你有哪些城市觀光景點和當地美食推薦？,紐西蘭奧克蘭,2024/3/1,2024/3/7,7,2500,8,城市觀光景點和當地美食
預算範圍在3000至3500之間，我計劃和攝影師朋友一同前往日本京都，在12月15日至12月22日期間，你有哪些攝影景點和購物區推薦？,日本京都,2023/12/15,2023/12/22,8,3000至3500,2,攝影景點和購物區
我和伴侶將前往希臘雅典，預算範圍在2000至2200之間，今年的7月5日至7月12日期間，你有哪些古代遺址和當地餐廳值得一試？,希臘雅典,2023/7/5,2023/7/12,8,2000至2200,2,古代遺址和當地餐廳
在明年的4月5日至4月10日期間，預算是每人1200，我和3位朋友們計劃前往泰國清邁，你有哪些適合的寺廟參觀和傳統工藝體驗推薦？,泰國清邁,2024/4/5,2024/4/10,6,1200,4,寺廟參觀和傳統工藝體驗
預算範圍在3500至4000之間，我將和夥伴前往希臘聖托里尼島度假，9月18日出發，為期十天，你能分享一些浪漫的日落景點和水上活動嗎？,希臘聖托里尼島,2023/9/18,2023/9/27,10,3500至4000,2,浪漫的日落景點和水上活動
我們打算前往泰國曼谷，今年的8月25日至8月30日期間，預算是每人1000，一家五口，有哪些適合家庭的文化遺址和夜市推薦？,泰國曼谷,2023/8/25,2023/8/30,6,1000,5,家庭的文化遺址和夜市
我將和攝影師朋友一同前往冰島，我們的預算約在2800左右，在明年的3月5日至3月14日，你有哪些壯麗的瀑布和火山景點推薦？,冰島,2024/3/5,2024/3/14,10,2800,2,壯麗的瀑布和火山景點
我計劃和朋友一同前往澳大利亞雪梨，十一月的11月20日至11月25日期間，預算範圍在2500至2800之間，你有哪些音樂和藝術節目推薦？,澳大利亞雪梨,2023/11/20,2023/11/25,6,2500至2800,2,音樂和藝術節目
預算約在4500至5000之間，明年的6月1日至6月7日期間，我和2位家人將前往西班牙的巴塞隆納，我們想要參觀著名的建築和海灘，你有什麼建議？,西班牙的巴塞隆納,2024/6/1,2024/6/7,7,4500至5000,3,著名的建築和海灘
在10月28日至11月1日期間，我計劃和同學一同前往加拿大溫哥華，預算約在1500左右，你有哪些城市遊覽和購物區推薦？,加拿大溫哥華,2023/10/28,2023/11/1,5,1500,2,城市遊覽和購物區
在今年的7月15日至7月20日期間，我將和夥伴一同前往泰國普吉島度假，預算範圍在2000至2200之間，你有哪些海灘活動和水上運動推薦？,泰國普吉島,2023/7/15,2023/7/20,6,2000至2200,2,海灘活動和水上運動
我和攝影愛好者朋友將造訪日本京都，明年的2月5日至2月14日期間，預算約在3000左右，你有哪些古老寺廟和傳統茶道體驗推薦？,日本京都,2024/2/5,2024/2/14,10,3000,2,古老寺廟和傳統茶道體驗
我計劃和男友一同前往法國尼斯，預算範圍在3500至4000之間，今年6月10日至6月15日期間，你有哪些適合家庭的海灘活動和城市觀光景點推薦？,法國尼斯,2023/6/10,2023/6/15,6,3500至4000,2,家庭的海灘活動和城市觀光景點
我和老公將前往芬蘭赫爾辛基，預算是每人1800，12月的12月10日至12月24日期間，你有哪些適合冬季的節慶活動和藝術展覽推薦？,芬蘭赫爾辛基,2023/12/10,2023/12/24,15,1800,2,冬季的節慶活動和藝術展覽
在明年的3月15日至3月24日期間，前往巴哈馬度假，我將參加一個郵輪，預算範圍在2500至2800之間，你有哪些水上活動和陽光海灘推薦？,巴哈馬,2024/3/15,2024/3/24,10,2500至2800,1,水上活動和陽光海灘
我和朋友一同前往摩洛哥馬拉喀什，預算是每人2000，在9月5日至9月10日期間，你有哪些建議的攝影景點和市集？,摩洛哥馬拉喀什,2023/9/5,2023/9/10,6,2000,2,攝影景點和市集
我和三位親人將前往南韓首爾，預算約在3000左右，今年的8月10日至8月17日期間，你有哪些適合的家庭友好活動和主題公園推薦？,南韓首爾,2023/8/10,2023/8/17,8,3000,4,家庭友好活動和主題公園
我和3個朋友一同前往越南峴港，在明年的1月20日至1月24日期間，預算範圍在2000至2200之間，你有哪些城市遊覽和當地美食推薦？,越南峴港,2024/1/20,2024/1/24,5,2000至2200,4,城市遊覽和當地美食
今年的11月28日至12月6日期間，我計劃和攝影愛好者朋友一同前往西班牙塞維利亞，預算是每人1500，你有哪些攝影景點和文化活動推薦？,西班牙塞維利亞,2023/11/28,2023/12/6,9,1500,2,攝影景點和文化活動
明年的5月5日至5月10日期間，預算範圍在1800至2000之間，我和同學將前往泰國曼谷，你有哪些適合的寺廟參觀和夜市推薦？,泰國曼谷,2024/5/5,2024/5/10,6,1800至2000,2,寺廟參觀和夜市
想在10月15日至10月20日期間，我計劃和伴侶一同前往西班牙巴塞隆納，預算範圍在3000至3500之間，你有哪些浪漫的建築景點和當地美食推薦？,西班牙巴塞隆納,2023/10/15,2023/10/20,6,3000至3500,2,浪漫的建築景點和當地美食
我將和兩個攝影師朋友一同前往美國黃石國家公園，在今年的6月10日至6月25日期間，預算範圍在2500至2800之間，你有哪些自然景點和攝影機會推薦？,美國黃石國家公園,2023/6/10,2023/6/25,16,2500至2800,3,自然景點和攝影機會
我和5位同事將前往新加坡出差，在今年的2月20日至2月26日，預算範圍在2000至2200之間，你有哪些商務活動和城市觀光景點推薦？,新加坡,2023/2/20,2023/2/26,7,2000至2200,6,商務活動和城市觀光景點
我和朋友將前往泰國普吉島，我們的預算約在1500左右，在今年的3月10日至3月14日期間，有哪些水上活動和海灘休閒推薦？,泰國普吉島,2023/3/10,2023/3/14,5,1500,2,水上活動和海灘休閒
明年的6月5日至6月10日期間，我和家人想去義大利的佛羅倫斯，預算範圍在3500至4000之間，你有哪些藝術博物館和古老建築推薦？,義大利的佛羅倫斯,2024/6/5,2024/6/10,6,3500至4000,2,藝術博物館和古老建築
我將和攝影愛好者朋友一同前往冰島，預算範圍在2500至2800之間，9月18日出發，大概十天，你有哪些攝影景點和自然奇觀推薦？,冰島,2023/9/18,2023/9/27,10,2500至2800,2,攝影景點和自然奇觀
在8月25日至8月30日期間，我們的預算約在4000至4500之間，我計劃和伴侶一同前往澳大利亞雪梨，有哪些適合情侶的浪漫活動？,澳大利亞雪梨,2023/8/25,2023/8/30,6,4000至4500,2,情侶的浪漫活動
預算範圍在1800至2000之間，我將和2個同學前往南韓首爾，在明年的4月15日至4月18日期間，你有哪些城市遊覽和當地美食推薦？,南韓首爾,2024/4/15,2024/4/18,4,1800至2000,3,城市遊覽和當地美食
今年的11月15日至11月20日期間，我將和朋友一同前往墨西哥坎昆，預算範圍在2000至2200之間，你有哪些海灘活動和古代遺跡推薦？,墨西哥坎昆,2023/11/15,2023/11/20,6,2000至2200,2,海灘活動和古代遺跡
我計劃前往日本京都，在明年的7月5日至7月9日期間，我對古老寺廟和傳統茶道有興趣，預算約在2500至2800之間，你有哪些建議？,日本京都,2024/7/5,2024/7/9,5,2500至2800,1,古老寺廟和傳統茶道
10月28日至11月1日，預算範圍在3500至4000之間，我和6位家人將前往法國巴黎，你有哪些適合家庭的博物館和文化活動推薦？,法國巴黎,2023/10/28,2023/11/1,5,3500至4000,7,家庭的博物館和文化活動
明年的2月20日至2月26日期間，我計劃和三個朋友一同前往越南胡志明市，我們的預算約在2800左右，你有哪些攝影景點和夜市推薦？,越南胡志明市,2024/2/20,2024/2/26,7,2800,4,攝影景點和夜市
預算範圍在3000至3500之間，我將和另一半前往希臘聖托里尼島度假，九月的9月5日至9月10日期間，你能分享一些浪漫的日落景點和水上活動嗎？,希臘聖托里尼島,2023/9/5,2023/9/10,6,3000至3500,2,漫的日落景點和水上活動
為期一週，我們的預算是每人2000，我將和老婆前往南非開普敦，今年的3月15日出發，你有哪些野生動物觀賞活動和自然景點推薦？,南非開普敦,2023/3/15,2023/3/21,7,2000,2,野生動物觀賞活動和自然景點
預算範圍在2500至2800之間，我和男朋友將前往加拿大洛磯山脈，今年的8月10日至8月15日期間，你有哪些攝影景點和登山徑推薦？,加拿大洛磯山脈,2023/8/10,2023/8/15,6,2500至2800,2,攝影景點和登山徑
