text,location,departure_time,return time,duration,cost,people_num,purpose
預算範圍在3000至3500之間，在明年的1月10日至1月25日，我將前往法國香檳區，你有哪些葡萄酒莊參觀和品鑑活動推薦？,法國香檳區,2024/1/10,2024/1/25,16,3000至3500,1,葡萄酒莊參觀和品鑑活動
預算是每人1500，今年11月28日至12月5日期間，我計劃和我男人一同前往日本大阪，你有哪些適合家庭的主題公園和當地美食推薦？,日本大阪,2023/11/28,2023/12/5,8,1500,2,家庭的主題公園和當地美食
預算範圍在3500至4000之間，明年的6月5日至6月12日期間，我將和女友前往紐西蘭奧克蘭，你有哪些城市觀光和自然景點推薦？,紐西蘭奧克蘭,2024/6/5,2024/6/12,8,3500至4000,2,城市觀光和自然景點
9月的9月15日至9月20日期間，我和女朋友將前往冰島，預算約在2500至2800之間，你有哪些攝影景點和冰川探險推薦？,冰島,2023/9/15,2023/9/20,6,2500至2800,2,攝影景點和冰川探險
在今年的7月10日至7月15日期間，我將和女兒一同前往美國奧蘭多，預算範圍在3000至3500之間，你有哪些適合家庭的主題公園和娛樂活動推薦？,美國奧蘭多,2023/7/10,2023/7/15,6,3000至3500,2,家庭的主題公園和娛樂活動
我計劃和我兒子前往希臘雅典，預算範圍在2500至2800之間，明年的3月20日至3月28日期間，你有哪些古代遺跡和當地美食推薦？,希臘雅典,2024/3/20,2024/3/28,9,2500至2800,2,古代遺跡和當地美食
我將和4位友人前往澳大利亞悉尼，預算約在2000左右，今年的11月5日至11月15日期間，你有哪些城市觀光和海灘活動推薦？,澳大利亞悉尼,2023/11/5,2023/11/15,11,2000,5,城市觀光和海灘活動
我們的預算是每人1800，我將和男朋友一同前往日本京都，為期一週，2月15日出發，你有哪些攝影景點和賞櫻活動推薦？,日本京都,2023/2/15,2023/2/21,7,1800,2,攝影景點和賞櫻活動
我將和朋友一同前往南韓濟州島，預算範圍在2000至2200之間，今年的4月15日至4月18日期間，你有哪些海灘活動和自然景點推薦？,南韓濟州島,2023/4/15,2023/4/18,4,2000至2200,2,海灘活動和自然景點
我們的預算約在2500至2800之間，明年的3月5日至3月10日期間，我計劃和2位朋友一同前往日本京都，你有哪些攝影景點和賞櫻活動推薦？,日本京都,2024/3/5,2024/3/10,6,2500至2800,3,攝影景點和賞櫻活動
我和我同學將前往西班牙巴塞隆納， 今年的10月20日至10月28日期間，預算範圍在3000至3500之間，你有哪些城市觀光和建築景點推薦？,西班牙巴塞隆納,2023/10/20,2023/10/28,9,3000至3500,2,城市觀光和建築景點
我將前往希臘聖托里尼島，在今年的9月10日至9月16日期間，預算範圍在1800至2000之間，你有哪些海灘活動和浪漫景點推薦？,希臘聖托里尼島,2023/9/10,2023/9/16,7,1800至2000,1,海灘活動和浪漫景點
預算是每人1200，今年底的12月28日至明年初1月2日期間，我計劃和2位家人一同前往美國紐奧良，你有哪些適合家庭的節慶活動和音樂表演推薦？,美國紐奧良,2023/12/28,2024/1/2,6,1200,3,家庭的節慶活動和音樂表演
明年的7月5日至7月13日期間，預算範圍在2500至2800之間，我和三名同事將前往芬蘭赫爾辛基，你有哪些城市觀光和當地美食推薦？,芬蘭赫爾辛基,2024/7/5,2024/7/13,9,2500至2800,4,城市觀光和當地美食
我們的預算約在2800左右，我計劃和朋友一同前往印度尼西亞峇里島，今年的6月15日至6月19日，你有哪些攝影景點和沙灘活動推薦？,印度尼西亞峇里島,2023/6/15,2023/6/19,5,2800,2,攝影景點和沙灘活動
預算範圍在3500至4000之間，我將和家人前往加拿大溫哥華，在今年的11月20日至11月26日期間，你有哪些家庭友好的自然景點和市區遊覽推薦？,加拿大溫哥華,2023/11/20,2023/11/26,7,3500至4000,2,家庭友好的自然景點和市區遊覽
明年的8月10日至8月18日期間，預算範圍在3000至3500之間，我計劃和女友一同前往巴西里約熱內盧，你有哪些海灘活動和城市觀光推薦？,巴西里約熱內盧,2024/8/10,2024/8/18,9,3000至3500,2,海灘活動和城市觀光
我和三位朋友將前往南非開普敦，5月25日至5月30日期間，預算範圍在2500至2800之間，你有哪些自然景點和野生動物觀賞推薦？,南非開普敦,2023/5/25,2023/5/30,6,2500至2800,4,自然景點和野生動物觀賞
今年的6月5日至6月12日期間，我計劃和男朋友一同前往西班牙巴塞隆納，預算範圍在2500至2800之間，你有哪些城市觀光和建築景點推薦？,西班牙巴塞隆納,2023/6/5,2023/6/12,8,2500至2800,2,城市觀光和建築景點
明年的1月20日至1月24日期間，預算範圍在3000至3500之間，我將和兩位家人前往泰國清邁，你有哪些文化體驗和夜市活動推薦？,泰國清邁,2024/1/20,2024/1/24,5,3000至3500,3,文化體驗和夜市活動
我計劃和女朋友一同前往冰島，我們的預算約在2800左右，大約是10月15日至10月20日期間，你有哪些攝影景點和冰川探險推薦？,冰島,2023/10/15,2023/10/20,6,2800,2,攝影景點和冰川探險
預算範圍在2000至2200之間，我將和伴侶前往希臘雅典，在今年的9月5日至9月15日期間，你有哪些古代遺跡和當地美食推薦？,希臘雅典,2023/9/5,2023/9/15,11,2000至2200,2,古代遺跡和當地美食
今年底的12月28日至明年初1月5日期間，我計劃和朋友一同前往美國紐奧良，預算是每人1200，你有哪些適合跨年慶祝和音樂表演推薦？,美國紐奧良,2023/12/28,2024/1/5,9,1200,2,跨年慶祝和音樂表演
預算範圍在3000至3500之間，明年的7月15日至7月20日期間，我和同學將前往日本大阪，你有哪些城市觀光和美食推薦？,日本大阪,2024/7/15,2024/7/20,6,3000至3500,2,城市觀光和美食
今年6月20日至6月30日之間，我和6位家人將前往意大利羅馬，預算範圍在3500至4000之間，你有哪些古蹟和文化遺產推薦？,意大利羅馬,2023/6/20,2023/6/30,11,3500至4000,7,古蹟和文化遺產
預算範圍在2500至2800之間，我將和3個朋友一同前往澳洲雪梨，在今年的8月10日至8月20日期間，你有哪些海灘活動和城市觀光推薦？,澳洲雪梨,2023/8/10,2023/8/20,11,2500至2800,4,海灘活動和城市觀光
我計劃和家人一同前往加拿大多倫多，4月25日到4月30日之間，預算約在2000左右，你有哪些城市觀光和文化活動推薦？,加拿大多倫多,2023/4/25,2023/4/30,6,2000,2,城市觀光和文化活動
預算範圍在3000到3500，明年的3月10日至3月15日期間，我和男友將前往法國尼斯，你有哪些海灘活動和城市觀光推薦？,法國尼斯,2024/3/10,2024/3/15,6,3000到3500,2,海灘活動和城市觀光
我和女朋友計劃出遊，我們的預算約在2500至2800之間，明年的3月5日至3月12日期間，有哪些海灘活動和自然景點推薦？,x,2024/3/5,2024/3/12,8,2500至2800,2,海灘活動和自然景點
我將和2位家人一同前往美國華盛頓特區，預算範圍在3500至4000之間，想在今年11月20日前回來，你有哪些歷史遺跡和博物館推薦？,美國華盛頓特區,x,2023/11/20,x,3500至4000,3,歷史遺跡和博物館
預算範圍在3000至3500之間，明年的8月5日出發，我計劃和4個夥伴一同前往泰國普吉島，你有哪些海灘活動和水上運動推薦？,泰國普吉島,2024/8/5,x,x,3000至3500,5,海灘活動和水上運動
我和幾位同學將前往日本京都，今年的12月10日到12月15日，你有哪些寺廟和傳統活動推薦？,日本京都,2023/12/10,2023/12/15,6,x,x,寺廟和傳統活動
我計劃和朋友一同前往德國慕尼黑，10月28日到11月4日左右，你有什麼推薦？,德國慕尼黑,2023/10/28,2023/11/4,8,x,2,x
明年的4月15日至4月25日，預算範圍在3500至4000之間，想前往加拿大溫哥華，你有哪些自然景點和野生動物觀賞推薦？,加拿大溫哥華,2024/4/15,2024/4/25,11,3500至4000,x,自然景點和野生動物觀賞
在9月25日到10月1日，我想和朋友一起出國，預算範圍在3000至3500之間,x,2023/9/25,2023/10/1,7,3000至3500,2,x
明年的1月15日至1月18日期間，預算大概在4000到4500，計劃前往新西蘭奧克蘭，你有哪些自然景點和冒險活動推薦？,新西蘭奧克蘭,2024/1/15,2024/1/18,4,4000到4500,x,自然景點和冒險活動
今年的7月5日，我和同事將前往英國倫敦出差，希望能兼顧商務和觀光，你有哪些建議？,英國倫敦,2023/7/5,x,x,x,2,商務和觀光
我計劃和伴侶一同前往巴西里約熱內盧，在今年的2月20日，我們的預算是每人2800，你有哪些海灘活動和娛樂推薦？,巴西里約熱內盧,2023/2/20,x,x,2800,2,海灘活動和娛樂
我打算和四個朋友們一同前往南韓首爾，預計我們每人2000可以用，3月15日左右出發，你能推薦哪些當地特色美食和購物地點嗎？,南韓首爾,2023/3/15,x,x,2000,5,特色美食和購物地點
6月15日要回來，我將和家人一起去意大利羅馬旅遊，預算範圍在3500到4000，你有哪些景點推薦？,意大利羅馬,x,2023/6/15,x,3500到4000,2,x
我計劃和10個同學們畢旅，明年的9月1日至9月5日的時候，有哪些水上活動和沙灘推薦？,x,2024/9/1,2024/9/5,5,x,11,水上活動和沙灘
我和女友計劃去泰國曼谷度假，今年11月25日前要回來，預算在2800到3200左右，你能分享一些當地的夜市和寺廟嗎？,泰國曼谷,x,2023/11/25,x,2800到3200,2,夜市和寺廟
每人有1800，明年的4月5日出發，我和我家人將前往加拿大多倫多，你有哪些建議的家庭友好型活動和景點？,加拿大多倫多,2024/4/5,x,x,1800,2,家庭友好型活動和景點
想計畫去德國柏林，預算範圍在2500~3000，今年底出發到明年1月2日回來，有哪些活動可以參加？,德國柏林,x,2024/1/2,x,2500~3000,x,x
今年的8月10日至8月15日期間，我將和三位同事前往日本大阪出差，我們希望能融入當地文化，你有哪些建議？,日本大阪,2023/8/10,2023/8/15,6,x,4,融入當地文化
我們每人有20000，打算前往希臘雅典，來年的2月5日至2月10日，你能推薦一些古代遺址和美麗的海灘嗎？,希臘雅典,2024/2/5,2024/2/10,6,20000,x,古代遺址和美麗的海灘
我們有3500至4000可以用，10月30日要回來，我和六位家人計劃前往巴西里約熱內盧，有哪些地方可以去？,巴西里約熱內盧,x,2023/10/30,x,3500至4000,7,x
我們每人預備20000能用，明年的6月1日至6月8日期間出遊，你能推薦一些運河遊船和博物館嗎？,x,2024/6/1,2024/6/8,8,20000,x,運河遊船和博物館
我和兩位家人計劃去南非開普敦，4月28日出發，你有哪些野生動物觀賞和自然景點推薦？,南非開普敦,2023/4/28,x,x,x,3,野生動物觀賞和自然景點
我將和4個同事前往韓國釜山出差，今年的7月10日至7月15日期間，預算有2200到2500，有哪些建議？,韓國釜山,2023/7/10,2023/7/15,6,2200到2500,5,x
我們每人有1800預算，3月20日出發，我計劃和夥伴前往奈及利亞拉各斯，你能分享一些當地的音樂和藝術場所嗎？,奈及利亞拉各斯,2023/3/20,x,x,1800,2,音樂和藝術場所
我們的預算範圍在2500至2800，今年9月15日前回來，我和女朋友打算前往泰國清邁，你有哪些寺廟和節慶活動推薦？,泰國清邁,x,2023/9/15,x,2500至2800,2,寺廟和節慶活動
我將和男友在明年的1月5日至1月10日期間旅行，你能推薦一些海港遊船和自然景點嗎？,x,2024/1/5,2024/1/10,6,x,2,海港遊船和自然景點
我計劃和8個夥伴一起去墨西哥坎昆度假，11月30日返程，我們準備2800到3200的旅費，有哪些推薦？,墨西哥坎昆,x,2023/11/30,x,2800到3200,9,x
預算有2200至2500，我們希望能體驗地中海文化，我將和三名同事前往法國尼斯出差，今年的5月5日出發，你有哪些建議？,法國尼斯,2023/5/5,x,x,2200至2500,4,體驗地中海文化
我們的預算約4000至4500，在2月15日到2月21日，我計劃和7位家人渡假，你有哪些山地冒險活動和湖泊推薦？,x,2023/2/15,2023/2/21,7,4000至4500,8,山地冒險活動和湖泊
10月25日～10月30日左右，我和八個朋友將前往希臘聖托里尼，你能分享一些美麗的日落和葡萄酒莊嗎？,希臘聖托里尼,2023/10/25,2023/10/30,6,x,9,美麗的日落和葡萄酒莊
我們計畫前往加拿大溫哥華，我們每人有1800旅費，明年的7月1日至7月5日期間，你有哪些建議的自然景點和野生動物觀賞？,加拿大溫哥華,2024/7/1,2024/7/5,5,1800,x,自然景點和野生動物觀賞
我們旅費大概在3500至4000，我將和家人一同前往西班牙巴塞羅那，4月30日要回來，你有哪些推薦？,西班牙巴塞羅那,x,2023/4/30,x,3500至4000,2,x
今年的8/15出發，計劃去泰國清邁度假，錢大概只有2500至2800左右，你能分享一些放鬆的spa活動和夜市嗎？,泰國清邁,2023/8/15,x,x,2500至2800,x,放鬆的spa活動和夜市
我將和女朋友一同前往美國洛杉磯，明年的3月10日至3月15日期間，你有哪些必去的遊樂園和好萊塢景點推薦？,美國洛杉磯,2024/3/10,2024/3/15,6,x,2,遊樂園和好萊塢景點
11月15日至11月22日，預算有3000至3500，計劃前往澳大利亞黃金海岸，你能推薦一些活動嗎？,澳大利亞黃金海岸,2023/11/15,2023/11/22,8,3000至3500,x,x
今年的6月5日前往，每人有2200，我將和兩位朋友一同前往荷蘭鹿特丹，你有哪些建議？,荷蘭鹿特丹,2023/6/5,x,x,2200,3,x
年底出發明年1月2日回程，我和家人計劃前往澳大利亞雪梨迎接新年，有哪些跨年活動和觀光景點？,澳大利亞雪梨,x,2024/1/2,x,x,2,跨年活動和觀光景點
明年的9月10日至9月13日期間，每人2500，我打算和兩位朋友一起出趟遠門，你能推薦一些野生動物觀賞和自然景點嗎？,x,2024/9/10,2024/9/13,4,2500,3,野生動物觀賞和自然景點
我和3個家人將前往巴西里約熱內盧，旅費在3500至4000之間，5月25日回來，你有哪些建議？,巴西里約熱內盧,x,2023/5/25,x,3500至4000,4,x
我將和同學前往日本京都，今年的2月10日抵達，我們的開銷約在2200至2500之間，你能推薦一些寺廟和文化體驗嗎？,日本京都,2023/2/10,x,x,2200至2500,2,寺廟和文化體驗
每人有2800，我計劃和另一半度蜜月，11月15日至11月20日期間，你能分享一些地點嗎？,x,2023/11/15,2023/11/20,6,2800,2,x
我和朋友計劃前往韓國首爾，明年的3月10日去，你有哪些推薦的當地美食和購物地點？,韓國首爾,2024/3/10,x,x,x,2,當地美食和購物
想全家一同前往日本京都，6月25日返程，預算有3500至4000，你有哪些古蹟和文化景點推薦？,日本京都,x,2023/6/25,x,3500至4000,x,古蹟和文化景點
我們每人1500，今年的9月5日至9月10日期間，我計劃和六個朋友去泰國曼谷度假，有哪些適合大家一起參加的活動？,泰國曼谷,2023/9/5,2023/9/10,6,1500,7,x
11月20日，預算有2000，將前往義大利威尼斯過3天周末，你能分享一些浪漫的運河遊船和小巷探險嗎？,義大利威尼斯,2023/11/20,2023/11/22,3,2000,x,浪漫的運河遊船和小巷探險
我計劃和家人前往泰國普吉島，從8月25日到9月1日期間，有哪些適合家庭的海灘活動？,x,2023/8/25,2023/9/1,8,x,2,家庭的海灘活動
我將和男朋友旅行，明年的4月20日前，我們的預算範圍在3000至3500之間，你有哪些藝術和建築景點推薦？,x,x,2024/4/20,x,3000至3500,2,藝術和建築景點
預算約在2000至2200，我和五位同事將前往美國洛杉磯出差，7月10日啟程，你有哪些建議活動？,美國洛杉磯,2023/7/10,x,x,2000至2200,6,x
我將和3位家人一起前往加拿大溫哥華，今年10月10日回來，我們只有3500至4000能用，你能推薦一些自然景點和戶外活動嗎？,加拿大溫哥華,x,2023/10/10,x,3500至4000,4,自然景點和戶外活動
我們只有2500的錢，我計劃和男友出國過情人節，2月15日出發去一週，你能分享一些浪漫的寺廟和舊城區嗎？,x,2023/2/15,2023/2/21,7,2500,2,浪漫的寺廟和舊城區
預算範圍在4000至4500之間，將前往美國奧蘭多，明年6月25日回來，有哪些適合家庭的主題公園和娛樂活動？,美國奧蘭多,x,2024/6/25,x,4000至4500,x,家庭的主題公園和娛樂活動
我和朋友計劃去捷克布拉格，12月10日前往，每人能有1800，你有哪些推薦？,捷克布拉格,2023/12/10,x,x,1800,2,x
今年的9月5日至9月10日期間，將前往南韓首爾，你能分享一些文化體驗和夜市活動嗎？,南韓首爾,2023/9/5,2023/9/10,6,x,x,文化體驗和夜市活動
我計劃和兩個夥伴一同前往泰國曼谷，3月20日到3月24日，有哪些經濟實惠的旅遊活動？,泰國曼谷,2023/3/20,2023/3/24,5,x,3,經濟實惠的旅遊活動
想去澳大利亞悉尼，旅費只有3500至4000，11月30日離開，你有哪些海港遊船和文化活動推薦？,澳大利亞悉尼,x,2023/11/30,x,3500至4000,x,海港遊船和文化活動
我們每人2000，我計劃和六個朋友們前往希臘雅典，明年的8月10日去，你能推薦一些？,希臘雅典,2024/8/10,x,x,2000,7,x
今年6月25日至6月28，預算大概2200至2500，要出行，你有哪些藝術展覽和歷史景點推薦？,x,2023/6/25,2023/6/28,4,2200至2500,x,藝術展覽和歷史景點
今年的12月5日至12月9日期間，我和男友計劃前往紐西蘭皇后鎮，你能分享一些冒險活動和湖泊風景嗎？,紐西蘭皇后鎮,2023/12/5,2023/12/9,5,x,2,冒險活動和湖泊風景
我將和女友一同出遊，4月15日至4月22日，我們有4000至4500上下，你有哪些推薦？,x,2023/4/15,2023/4/22,8,4000至4500,2,x
明年的1月10日出發，我和4位朋友計劃前往印度新德里，你能推薦一些嗎？,印度新德里,2024/1/10,x,x,x,5,x
10月30日要回來，我們的預算範圍在3500至4000之間，我將和兩位家人一同前往美國紐奧良，你有哪些爵士音樂活動和美食推薦？,美國紐奧良,x,2023/10/30,x,3500至4000,3,爵士音樂活動和美食
明年的3月5日至3月11日期間，我們每人1800，我和朋友計劃前往南韓濟州島，你有哪些海灘活動和自然景點推薦？,x,2024/3/5,2024/3/11,7,1800,2,海灘活動和自然景點
有3500到4000可用，6月20日回國，我將和我爸一起前往墨西哥坎昆，你有哪些適合家庭的水上活動和遺址參觀？,墨西哥坎昆,x,2023/6/20,x,3500到4000,2,家庭的水上活動和遺址參觀
今年的9月5日前往，我計劃和我哥我姐去泰國曼谷度假，我們每人有1500花費，有哪些適合大家一同參加的夜市和寺廟參觀？,泰國曼谷,2023/9/5,x,x,1500,3,夜市和寺廟
我和我弟弟計劃前往意大利佛羅倫薩，我們有2500，明年的11月15日至11月21日，你能分享一些推薦嗎？,意大利佛羅倫薩,2024/11/15,2024/11/21,7,2500,2,x
我和女兒將前往西班牙巴塞羅那，8月30日返程，你有哪些當地特色市場和建築景點推薦？,西班牙巴塞羅那,x,2023/8/30,x,x,2,特色市場和建築景點
準備前往南半球，明年的4月10日至4月18日期間，我們的預算約在4000至4500之間，你有哪些適合家庭的海灘活動和動物園參觀？,x,2024/4/10,2024/4/18,9,4000至4500,x,家庭的海灘活動和動物園
7月5日至7月10日期間，我們每人2000，我計劃和女朋友一同前往加拿大多倫多，有哪些經濟實惠的城市活動和景點參觀？,加拿大多倫多,2023/7/5,2023/7/10,6,2000,2,x
即將前往冰島雷克雅未克，今年12月25日回來，有3500到4000旅費，你有哪些冰川探險和溫泉浴場推薦？,冰島雷克雅未克,x,2023/12/25,x,3500到4000,x,經濟實惠的城市活動和景點參觀
想在3月15日至3月20日左右，我計劃和同學一同前往法國尼斯，你能分享一些推薦嗎？,法國尼斯,2023/3/15,2023/3/20,6,x,2,x
今年10月5日至10月10日期間，我們約有2500至2800，去泰國清邁，你有哪些當地市場和寺廟參觀推薦？,泰國清邁,2023/10/10,2023/10/15,6,2500至2800,x,當地市場和寺廟參觀
我和兩位朋友們計劃前往西班牙巴塞羅那，我們每人有1600，今年的6月10日前往，你有哪些推薦？,西班牙巴塞羅那,2023/6/10,x,x,1600,3,x
我們的預算範圍在3500至4000之間，我全家4人前往日本京都，7月15日回來，有哪些古蹟寺廟和櫻花賞櫻勝地？,日本京都,x,2023/7/15,x,3500至4000,4,古蹟寺廟和櫻花賞櫻勝地
我們一行六人計劃度假，9月25日至10月5日，我們的旅費有4500至5000，有哪些水上活動和海灘推薦？,x,2023/9/25,2023/10/5,11,4500至5000,6,水上活動和海灘
明年1月20日回來，我和女友將前往紐西蘭皇后鎮，我們只有2800旅費，你能分享一些冒險活動和湖泊風景推薦嗎？,紐西蘭皇后鎮,x,2024/1/20,x,2800,2,冒險活動和湖泊風景
我計劃和三個朋友們一同前往德國柏林，我們每人有1200可以用，今年11/20出發，有哪些博物館和歷史遺跡參觀？,德國柏林,2023/11/20,x,x,1200,4,博物館和歷史遺跡
明年的8月5日，我們大概有3800到4200可以用，我們想要參加野生動物觀察和探索自然景點，我和弟弟將前往加拿大溫哥華，有什麼建議？,加拿大溫哥華,2024/8/5,x,x,3800到4200,2,野生動物觀察和探索自然
我計劃和姊姊一同前往泰國曼谷，今年12月10日至12月17日，有哪些夜市和宗教寺廟推薦？,泰國曼谷,2023/12/10,2023/12/17,8,x,2,夜市和宗教寺廟
明年的4月5日至4月12日期間，我們的預算約在2400，我和老公將度蜜月，你有哪些古遺跡和文化景點推薦？,x,2024/4/5,2024/4/12,8,2400,x,古遺跡和文化景點
我們的預算範圍在1800至2000之間，我和三位朋友計劃前往越南河內，10月25日至10月30日期間，有什麼建議？,越南河內,2023/10/25,2023/10/30,6,1800至2000,4,x
想去美國奧蘭多，明年的3月10日前往，我們的預算約在3000到3500之間，有哪些適合家庭的主題樂園和娛樂活動推薦？,美國奧蘭多,2024/3/10,x,x,3000到3500,x,家庭的主題樂園和娛樂活動